name,wealth
GENESYS TELECOM LAB INC,608.40
AVENOR INC,607.55
DATA DOMAIN INC,607.43
HYBRITECH INC,606.81
MARTEN TRANSPORT LTD,606.36
BURGER KING HOLDINGS INC,606.18
BRITISH COLUMBIA PWR LTD,606.05
ATMEL CORP,605.78
FIRST RAILROAD & BANKING CO GA,605.65
WALKER & DUNLOP INC,604.73
ST JOSEPH LIGHT & POWER CO,604.63
CAESARSTONE SDOT YAM LTD,603.33
FLORIDA STEEL CORP,603.00
TITANIUM METALS CORP,602.76
WOODS PETROLEUM CORP,601.69
EXAMWORKS GROUP INC,601.51
CHAMPLAIN NATIONAL CORP,601.12
FIBREBOARD CORP NEW,600.79
PERIPHONICS CORP,600.54
DUNKIN DONUTS INC,600.34
PROVINCE HEALTHCARE CO,599.97
PERU COPPER INC,599.85
BECO INDUSTRIES CORP,598.72
SEROLOGICALS CORP,598.41
ESSEX CHEMICAL CORP,598.33
CONAIR CORP DE,598.19
HUDSON PULP & PAPER CORP,597.78
NAUTICA ENTERPRISES INC,597.67
FINISH LINE INC,597.58
PARKER RUST PROOF CO,597.04
ALEXANDER & BALDWIN INC NEW,596.95
INVESTMENT TECHNOLOGY GP INC NEW,596.43
SAGE THERAPEUTICS INC,596.09
MELLANOX TECHNOLOGIES LTD,595.21
ELDORADO RESORTS INC,594.86
MID AMERICA BANCORP,594.66
S S A GLOBAL TECHNOLOGIES INC,592.63
A D T INC,592.41
A A R CORP,592.01
NATIONAL MEDICAL CARE INC,591.25
INTERVU INC,590.79
LEADER FINANCIAL CORP,590.47
GENERAL AUTOMOTIVE PARTS CORP,590.19
BINNEY & SMITH INC,589.71
VOICESTREAM WIRELESS CORP,589.71
EASTERN UTILITIES ASSOC,589.56
DESERT SUN MINING CORP,589.26
ENGILITY HLDGS INC NEW,588.14
FRAM CORP,587.92
HELME PRODUCTS INC,587.68
YESMAIL COM INC,587.31
CAMDEN NATIONAL CORP,587.22
DIODES INC,585.60
UNITED NATIONAL BANCORP NJ,585.57
GENERAL OUTDOOR ADVERTISING INC,585.16
UNITIL CORP,585.04
REPUBLIC BANCORP INC KY,584.89
FIRST COMMERCE BANCSHARES INC,584.27
DODGE MFG CO,584.20
AMERICAN FINANCIAL HOLDINGS INC,584.16
RAMSAY H M O INC,583.34
NORTHWESTERN STEEL & WIRE CO,582.29
GARAN INC,581.91
RESPONSYS INC,581.46
S B S BROADCASTING SA,581.30
VERSUM MATERIALS INC,580.61
AMCORD INC,580.36
NATIONAL TEA CO,580.00
ALTIRIS INC,579.93
MIRAMAR MINING CORP,579.62
HANES CORP,579.14
CIRCLE INTERNATIONAL INC,578.89
IAC INTERACTIVECORP,577.75
CADENCE PHARMACEUTICALS INC,577.09
J S B FINANCIAL INC,576.81
MARQUETTE MEDICAL SYSTEMS INC,576.78
BERKSHIRE HILLS BANCORP INC,576.49
C N A SURETY CORP,576.07
ENERGYSOUTH INC,574.95
SEL REX CORP,574.52
HARTE HANKS INC,573.44
NELLCOR PURITAN BENNETT INC,573.32
PROCTOR SILEX CORP,572.81
BANCO POPULAR DE P R,572.44
ZERO CORP,570.96
MOSTEK CORP,570.93
TELE COMMUNICATIONS INTL INC,570.83
BANFF OIL LTD,570.41
JERRICO INC,570.38
POWERSOFT CORP,570.32
PHILIPS INDUSTRIES INC,569.62
MAINSOURCE FINANCIAL GROUP INC,569.53
ARDEN GROUP INC,569.39
COMMONWEALTH BANCORP INC,569.16
KOPPERS HOLDINGS INC,568.60
NFRONT INC,568.31
FIVE BELOW INC,567.95
FIRST CONNECTICUT BANCORP INC,567.85
TRAVELERS CORP,567.70
FISHER SCIENTIFIC GROUP INC,567.24
SEGA ENTERPRISES INC,567.00
RED ROBIN GOURMET BURGERS INC,566.60
P H H CORP,565.93
MERCHANTS NEW YORK BANCORP INC,565.60
ALARMCOM HOLDINS INC,565.54
BALDWIN LIMA HAMILTON CORP,565.22
LAKELAND BANCORP INC,565.03
FIRST NEW HAMPSHIRE BANKS INC,564.94
COBRA GOLF INC,563.62
WESTERN GEAR CORP,563.49
G B C BANCORP,563.40
DUFF & PHELPS CREDIT RATING CO,563.36
ALLIANCE ATLANTIS COMMS INC,563.27
SCHOLASTIC CORP,563.18
IMAGISTICS INTERNATIONAL INC,563.11
SPINE TECH INC,562.63
ODYSSEY HEALTHCARE INC,562.56
PEABODY INTERNATIONAL CORP,562.52
QUALYS INC,562.33
EMPLOYERS HOLDINGS INC,561.85
GOLDEN VALLEY MICROWAVE FDS INC,561.73
EXACTTARGET INC,561.65
NEW JERSEY NATL CORP,561.32
SPENCER KELLOGG & SONS INC,560.99
C P NATIONAL CORP,560.27
DELTIC TIMBER CORP,560.24
H R G GROUP INC,559.84
CAREER HORIZONS INC,559.30
N I C INC,558.84
T R E CORP,558.46
OCCUPATIONAL URGENT CARE HEALTH,557.94
BAYUK CIGARS INC,557.53
INGLES MARKETS INC,557.46
VALLEY CAPITAL CORP,557.45
MINNETONKA INC,556.92
TRENDWEST RESORTS INC,556.81
DE VILBISS CO,556.53
EMERY AIR FGHT CORP,555.83
MARINER ENERGY INC,555.61
MIDWEST ENERGY CO,555.31
PARK ELECTROCHEMICAL CORP,554.70
UNITED SURGICAL PARTNERS INTL IN,553.53
NATUS MEDICAL INC,552.86
MCCRORY CORP,552.57
U T D CORP,552.46
GREATER BAY BANCORP,552.31
TEEKAY CORP,552.27
ALLERGAN PHARMACEUTICALS INC DE,551.85
S R A INTERNATIONAL INC,551.57
INTEGRATED DEVICE TECHNOLOGY,551.53
LIBERTY FINANCIAL COS INC,550.78
COHERUS BIOSCIENCES INC,550.08
CONNECTICUT ENERGY CORP,549.99
FIRST SENTINEL BANCORP INC,549.89
TRIZEC LTD NEW,549.56
TRANSCO ENERGY CO,549.27
MINNESOTA & ONTARIO PAPER CO,549.24
HANOVER COMPRESSOR CO,549.05
BOSTON TECHNOLOGY INC,548.87
CORE INDUSTRIES INC,548.74
M & M WOOD WORKING CO,548.74
PAPERCRAFT CORP,548.02
UNIVAR CORP,547.37
AMERICAN CRYSTAL SUGAR CO,547.33
EMERY INDUSTRIES INC,546.91
US FOODS HOLDING CORP,546.87
ANIKA THERAPEUTICS INC,546.68
TOPPS COMPANY INC,546.56
LADISH CO INC,545.06
REX AMERICAN RESOURCES CORP,544.37
KORN FERRY INTERNATIONAL,543.76
ELECTRIC PWR & LT CORP,543.75
CUSTOMERS BANCORP INC,543.61
DAVISON CHEM CORP,542.57
MIDLAND ENTERPRISES INC N Y,542.29
G W UTILITIES LTD,542.00
UNITED STATES SUGAR CORP,541.94
C T G RESOURCES INC,541.01
FINANCIAL FEDERAL CORP,540.34
CONNECTICUT BANCSHARES INC,540.05
MARINE PRODUCTS CORP,539.64
MYERS INDUSTRIES INC,538.65
MANUFACTURERS BANK LOS ANGELES,538.51
UNITED BANCORP ARIZ,538.50
HEALTHWAYS INC,538.49
RADIUS HEALTH INC,538.33
RICHFOOD HOLDINGS INC,538.06
TYLER CORP,537.82
SILKNET SOFTWARE INC,537.80
NATCO GROUP INC,537.34
A S R PRODS CORP,537.10
INDEPENDENT BANK GROUP INC,535.53
HANMI FINANCIAL CORP,535.41
SINCLAIR BROADCAST GROUP INC,535.22
LIFELINE SYSTEMS INC,534.19
PRIORITY HEALTHCARE CORP,534.06
FIRST CHARTER CORP,534.02
MURRAY OHIO MFG CO,533.06
HURON CONSULTING GROUP INC,532.27
INTERNATIONAL RECTIFIER CORP,531.94
BOSTON BANCORP,531.64
DESCARTES SYSTEMS GROUP INC,531.49
C F X CORP,531.08
HERITAGE FINANCIAL SVCS INC,531.06
ILLINOIS CENT RR CO,530.92
DOEHLER JARVIS CORP,530.77
MILTON BRADLEY CO,530.35
SHELLER GLOBE CORP,530.29
LEHIGH PORTLAND CEM CO,530.15
MID STATE BANCSHARES,529.99
RADIANT SYSTEMS INC,529.92
BALDWIN & LYONS INC,529.91
VANADIUM CORP AMER,528.69
CORUS ENTERTAINMENT INC,527.88
PREVIEW TRAVEL INC,527.86
CARSON PIRIE SCOTT & CO NEW,527.24
USLIFE CORP,527.11
GULF SOUTH MEDICAL SUPPLY INC,527.07
BELL INTERCONTINENTAL CORP,526.18
CITIZENS FIRST BANCORP,525.63
BIG BEAR INC,525.56
INSTEEL INDUSTRIES INC,525.55
PUERTO RICO TEL CO,525.05
HECHT CO,525.01
CARRIZO OIL & GAS INC,524.51
FEDERAL AGRICULTURAL MORT CORP,524.33
CENTURY 21 REAL ESTATE CORP,523.89
AMERICAN AIR FILTER INC,523.53
INCONTACT INC,522.94
GIVEN IMAGING LTD,522.39
ALAMITO COMPANY,522.35
GLOBE SPECIALTY METALS INC,522.32
UNION TRUST BANCORP,521.78
BAV LIQUIDATING CORP,521.68
WINMARK CORP,521.62
ST LOUIS SOUTH WESTN RY CO,521.37
FINANCIAL TRUST CORP,521.15
MARCUS CORP,520.95
K V P SUTHERLAND PAPER CO,520.91
WEYCO GROUP INC,520.04
HARVARD INDUSTRIES INC,519.49
SHOREWOOD PACKAGING CORP INC,519.48
OLLIES BARGAIN OUTLET HLD INC,519.32
TRUEBLUE INC,518.56
MORSE SHOE INC,518.55
RELIANCE ELECTRIC CO NEW,517.99
CHICAGO TITLE & TRUST CO IL,517.94
BLUEBIRD BIO INC,517.55
VALERO ENERGY CORP,517.51
PACIFIC SCIENTIFIC CO,517.50
DETROIT STEEL CORP,517.32
YATES INDUSTRIES INC,516.99
MAXLINEAR INC,516.76
BOIS D ARC ENERGY INC,516.56
PITTSBURGH & LAKE ERIE RR CO,516.41
SPSS INC,516.38
PRODUCTS RESEARCH & CHEM CORP,516.17
COMTEN INC,515.90
HORIZON BANCORP IND,514.97
C & K PETROLEUM INC,514.57
DOUBLETREE CORP,514.30
ITRON INC,514.30
SUNWEST FINANCIAL SERVICES INC,513.91
B D M INTERNATIONAL INC,513.64
CHANCE VOUGHT CORP,513.37
HOT TOPIC INC,513.36
GRUBHUB INC,513.34
RELIANCE GROUP INC,513.23
NATIONAL CITY LINES INC,512.35
MEDASSETS INC,511.98
STOLT NIELSEN S A,511.87
WAUKESHA MTR CO,511.79
PACIFIC PREMIER BANCORP INC,511.29
LIQUI BOX CORP,510.67
I P C HOLDINGS LTD,510.65
BANKERS CORP,510.00
SCIELE PHARMA INC,509.75
ISLE OF CAPRI CASINOS INC,509.66
CERADYNE INC CA,509.62
NEW WORLD COMMUNICATIONS GRP INC,508.66
BOISE INC,508.62
SHEAFFER W A PEN CO,507.81
CIRCLE K CORP DEL,507.49
BACHE GROUP INC,507.23
DRAPER CORP,506.27
TACO BELL,506.19
MAYFLOWER GROUP INC,506.08
ALLEGHENY INTERNATIONAL INC,505.96
AZTEC OIL & GAS CO,505.63
ANCORP NATIONAL SVCS INC,505.49
PEC ISRAEL ECONOMIC CORP,505.42
CHILTON CORP,503.97
HERMANS SPORTING GOODS INC,503.81
MINEFINDERS CORP LTD,503.10
AQUARION CO,502.91
CHICAGO & EASTERN ILLINOIS RR CO,502.59
PACIFIC SOUTHWEST AIRLINES NEW,502.46
RANCO INC,502.45
REPLIGEN CORP,502.26
ENTERPRISE FINANCIAL SVCS CORP,502.07
PRIMA ENERGY CORP,502.03
NORTH CAROLINA NATURAL GAS CORP,500.54
WAYFAIR INC,500.42
CHARMING SHOPPES INC,500.15
ACCELERATE DIAGNOSTICS INC,499.97
SERENA SOFTWARE INC,499.73
GREEN PLAINS INC,499.72
CANADIAN HOMESTEAD OILS LTD,499.70
LUXOFT HOLDING INC,499.62
ALCON LABS INC,499.60
MARLEY COMPANY,499.58
YANKEE ENERGY SYSTEM INC,499.20
EXCEL SWITCHING CORP,498.98
PERCLOSE INC,498.90
HUSSMANN REFRIGERATOR CO,498.70
CAREY PHILIP MFG CO,498.70
GREAT AMERICAN MGMT & INVT INC,498.37
UDYLITE CORP,498.02
LEHIGH COAL & NAV CO,498.01
PREFERRED HEALTH CARE LTD,497.61
CLINICAL DATA INC NEW,497.25
TRIANGLE PACIFIC CORP,497.22
WESTERN WASTE INDS,496.93
CEVA INC,496.84
FORDING INC,496.79
REXHAM CORP,496.45
TOLEDO SCALE CORP,496.36
UNITED FINANCIAL BANCORP INC NEW,495.70
MEXICAN PETE LTD,495.24
GENERAL CRUDE OIL CO,495.22
R E S INVESTMENT CORP,494.90
KANBAY INTERNATIONAL INC,494.42
SEA LAND CORP,494.38
TI CARO INC,494.32
AMERICAN MANAGEMENT SYSTEMS INC,493.54
ITURAN LOCATION & CONTROL LTD,493.19
UNIVERSAL CTRLS INC,493.14
ATKORE INTERNATIONAL GROUP INC,492.84
NORTHEAST CAP CORP,492.59
FOOTHILL GROUP INC,492.29
COMMERCIAL ALLIANCE CORP,492.18
BLOCK DRUG INC,492.00
CONROCK CO,492.00
MERCHANTS BANCORP INC,491.79
LANVIN CHARLES RITZ INC,491.34
Q 2 HOLDINGS INC,491.27
INTL FCSTONE INC,491.27
DIALOGIC CORP,491.20
KULICKE & SOFFA INDS INC,491.16
REPUBLIC AIRLINES INC,491.04
ERBAMONT N V,490.88
VERIDIAN CORP,490.62
MASONITE INTERNATIONAL CORP NEW,490.32
FIRST DEFIANCE FINANCIAL CORP,490.30
GAYLORD ENTERTAINMENT CO,490.26
I C O S CORP,490.01
RENAISSANCE HOTEL GROUP NV,489.81
UNIVERSAL PICTURES INC,489.59
MONFORT COLORADO INC,489.58
AIR TRANSPORT SERVICES GROUP INC,489.53
C F & I STEEL CORP,489.40
HALOZYME THERAPEUTICS INC,489.37
RELYPSA INC,489.23
BALLYS GRAND INC,488.67
CLOVIS ONCOLOGY INC,488.59
GOLD KIST INC DEL,488.26
LARSEN COMPANY,488.07
LEES JAMES & SONS CO,486.90
FLEXI VAN CORP,486.53
AMERICAN CABLE & RADIO CORP,486.51
OASIS PETROLEUM INC,486.49
CITIZENS FINANCIAL GROUP INC,486.29
ADDISON WESLEY PUBG INC,485.65
CRESCENT CORP,485.59
B V D CO,485.54
PACIFIC NORTHWEST BANCORP,484.95
MANTECH INTERNATIONAL CORP,484.94
ALNYLAM PHARMACEUTICALS INC,484.71
WEB COM GROUP INC,484.09
UNION NATIONAL CORP PA,483.86
A M N HEALTHCARE SERVICES INC,483.63
XOMOX CORP,483.27
MINUTE MAID CORP,483.26
STERNCO INDUSTRIES INC,483.12
CANADIAN INTERNATIONAL PWR LTD,482.51
BROOKFIELD HOMES CORP,482.14
DURA PHARMACEUTICALS INC,481.89
KRONOS WORLDWIDE INC,481.61
CONSOLIDATED GRAPHICS INC,481.50
LENDER PROCESSING SERVICES INC,481.24
FURON CO,481.21
NATIONAL CAN CORP,481.16
SONIC AUTOMOTIVE INC,480.94
MARCUS & MILLICHAP INC,480.86
TRANSPORT LIFE INS CO,480.19
PETERSEN COS,479.36
WESTWOOD HOLDINGS GROUP INC,478.75
ASSOCIATED NATURAL GAS CORP,478.73
COMMUNICATIONS INDUSTRIES INC,478.40
ARTISAN COMPONENTS INC,478.28
HOWMET INTERNATIONAL INC,478.14
PINNACLE FINANCIAL SERVICES INC,478.07
BANCO LATINOAMERICANO DE CO EX S,477.84
NATIONAL PERIODICAL PUBNS INC,477.55
B A E SYSTEMS CANADA INC,477.53
GREENWICH AIR SERVICES INC,477.40
B H M INDUSTRIES INC,477.07
RIO NARCEA GOLD MINES LTD,476.70
SAXON CAPITAL INC,476.60
PARK COMMUNICATIONS INC,475.48
FORRESTER RESEARCH INC,474.96
TERRA RESOURCES INC,474.62
GEORESOURCES INC,474.51
ADVANCEPIERRE FOODS HOLDINGS INC,474.10
SS & C TECHNOLOGIES INC,473.78
RE MAX HOLDINGS INC,473.33
PAGE HERSEY TUBES LTD,473.22
PROTO LABS INC,473.11
A E P INDUSTRIES INC,472.78
MCDONALD & CO INVTS INC,471.90
ARMTEK CORP DE,471.72
B G C PARTNERS INC,471.50
REMY INTERNATIONAL INC NEW,471.07
OUTFRONT MEDIA INC,470.68
KITE PHARMA INC,470.42
GEAC COMPUTER CORP LTD,470.38
AMERICAN PHYSICIANS CAPITAL INC,470.34
CHARTER OIL LTD,470.23
CARROLS RESTAURANT GROUP INC,470.07
AMERICAN VANGUARD CORP,469.78
CHAMPION PRODUCTS INC,469.76
SUPERIOR ESSEX INC,469.37
RESOURCE AMERICA INC,469.12
EPOCH HOLDING CORP,468.87
O SULLIVAN CORP,468.70
SELECT COMFORT CORP,468.47
DIAMOND SHAMROCK INC,468.40
APEXCO INC,468.36
MARLIN ROCKWELL CORP DE,467.97
TICKETMASTER GROUP INC,467.74
FIRST FINANCIAL HOLDINGS INC,467.71
AMERACE CORP,467.36
COLOR KINETICS INC,466.97
GENERAL COMMUNICATION INC,466.69
MERCHANTS BANCSHARES INC,466.44
BIGLARI HOLDINGS INC,466.43
FLEXSTEEL INDUSTRIES INC,465.75
SHOWBOAT INC,465.28
CYNOSURE INC,464.81
CORUS BANKSHARES INC,464.70
HI TECH PHARMACAL CO INC,464.68
ENERGIZER HOLDINGS INC NEW,464.49
AMERICAN AGGREGATES CORP,463.86
CONNECTONE BANCORP INC NEW,463.86
PRATT & LAMBERT UNITED INC,463.81
STRUCTURAL DYNAMICS RSCH CORP,463.77
CONSOLIDATED COPPERMINES CORP,463.63
B E I TECHNOLOGIES INC,463.44
GLOBAL BRASS & COPPER HLDGS INC,463.13
FOUNDATION COAL HOLDINGS INC,463.01
M T V NETWORKS INC,462.36
ALBERTA ENERGY CO LTD,461.46
MISSISSIPPI VALLEY BKSHARES INC,461.36
VICK CHEM CO OLD,460.87
PHOENIX INVESTMENT PARTNERS LTD,460.81
HILTON INTL CO,460.46
TAKECARE INC,460.37
STANDARD REGISTER CO,460.03
INTEROIL CORP,459.64
ALTAIR CORP,459.31
MAHONING COAL RR CO,459.25
BUTLERS SHOE CORP,459.03
MOVADO GROUP INC,458.96
INTERFINANCIAL INC,458.67
REVDAY INDS INC,458.35
MARKETO INC,458.31
YORK WATER COMPANY,458.19
GENERAL REFRACTORIES CO,457.88
VIRGINIA CAROLINA CHEM CORP,457.74
A B R INFORMATION SERVICES INC,457.37
KANEB SERVICES L L C,457.10
GUARANTY NATIONAL CORP NEW,456.62
C N S INC,456.16
HORIZON PHARMA PLC,456.07
FIRST BANCORP NC,455.98
AMERICAN BANK NOTE CO,455.93
RADIATION INC,455.91
WYLE ELECTRONICS,455.64
MEDIPLEX GROUP INC,454.49
AMERICAN SAVINGS OF FLORIDA FSB,454.06
OMEGA FLEX INC,453.74
STANDARD SAN MFG CO,453.24
POREX TECHNOLOGIES CORP,453.13
COMMSCOPE INC,452.98
GOLUB CAPITAL B D C INC,452.91
SIMMONDS PRECISION PRODS INC,452.71
ENSTAR GROUP INC GA,452.49
JOSLYN CORP,452.23
DURR FILLAUER MED INC,452.23
TEAM INC,452.12
THIOKOL CORP,451.68
GREENFIELD INDUSTRIES INC,451.64
VALLEY NATIONAL CORP AZ,451.15
DAKTRONICS INC,450.49
SONOSITE INC,449.75
FREDS INC,449.69
SHARP & DOHME INC,449.03
GENOMIC HEALTH INC,448.98
HARRAHS,448.89
HOME BENEFICIAL CORP,448.10
AMERICAN LINSEED CO,448.05
REHABCARE GROUP INC,447.93
T P C GROUP INC,447.84
INTERCHANGE FINANCIAL SERV CORP,447.70
MCLEAN TRUCKING CO,447.64
PATHOGENESIS CORP,447.55
DIGITALGLOBE INC,447.02
SYNERGY RESOURCES CORP,447.00
INTERLOGIX INC,446.95
COLONIAL GAS CO,446.47
HOME FINANCIAL CORP DEL FL,446.13
NUMAR CORP,446.09
MCDERMOTT J RAY SA,445.99
DESTIA COMMUNICATIONS INC,445.96
SAGA CORP,445.94
I N B FINANCIAL CORP,444.68
THERAPEUTICSMD INC,444.58
UNITED ELEC COAL COS,444.52
RIVERWOOD INTERNATIONAL CORP,444.39
BONE CARE INTERNATIONAL INC,444.33
ASAMERA INC,444.18
BARRETT BUSINESS SERVICES INC,444.05
HELENA RUBINSTEIN INC,443.51
AMERICAN INCOME LIFE INS CO,443.17
A G S COMPUTERS INC,442.80
FIDELITY NATIONAL INFO SOLNS INC,442.75
GINN & CO,442.47
BANK AMER,442.42
B S B BANCORP INC,442.42
L H C GROUP,442.38
M Y R GROUP INC DE,442.20
AMERICAN INCOME HOLDING INC,441.56
KEYSTONE FINANCIAL INC,440.93
FILENET CORP,440.71
HERITAGE MEDIA CORP,440.19
FLICKINGER S M INC,439.94
U S C S INTERNATIONAL INC,439.69
KYSOR INDUSTRIAL CORP DE,439.57
A M F I CORP,439.48
C R A MANAGED CARE INC,439.29
CECO INDUSTRIES INC,438.62
KRATON CORP,438.39
HYPERION SOFTWARE CORP,437.99
WILLIAMS SCOTSMAN INTL INC,437.87
IOWA SOUTHERN INC,437.35
HINGHAM INSTITUTION FOR SVGS MA,437.34
NEW DIMENSION SOFTWARE LTD,436.57
B B N CORP,436.50
POTT INDUSTRIES INC,436.48
PENNSYLVANIA ENTERPRISES INC,436.46
DUTY FREE INTERNATIONAL INC,435.87
AMERICAN CAPITAL LTD,435.28
PARMELEE TRANSN CO,434.69
PRODUCTION OPERATORS CORP,434.54
FACET BIOTECH CORP,434.52
SHAWMUT CORP,433.92
ROOSEVELT RACEWAY INC,433.58
TIMEPLEX INC,433.44
STANLEY INC,433.10
COMMONWEALTH BANCSHARES CORP,432.37
SHELLER MFG CORP,431.87
SUGEN INC,431.76
A S E TEST LTD,431.14
C N I LIQUIDATING CO,430.96
F & M BANCORP MD,430.58
WESLEY JESSEN VISIONCARE INC,430.49
AMERICAN METAL PRODS CO,430.06
WETTERAU INC,429.63
NATIONAL EQUIPTMENT RENT LTD,429.46
DURATA THERAPEUTICS INC,428.98
DAL TILE INTL INC,428.24
A F C CABLE SYSTEMS INC,428.20
METALLICA RESOURCES INC,428.07
HALL MARK ELECTRONICS CORP,427.69
FREEPORT MCMORAN OIL & GAS CO,426.85
NAUTILUS INC,426.38
MEDICINE SHOPPE INTL INC,425.88
BROOKS SCANLON INC,425.53
CRITON CORP,425.45
BERINGER WINE ESTATES HLDGNS INC,425.38
NEW LINE CINEMA CORP,425.16
FOOD GIANT MKTS INC,425.07
TOBIRA THERAPEUTICS INC,424.86
INTERACTIVE PICTURES CORP,424.78
MEDIFAST INC,424.62
CLETRAC CORP,423.87
WHITE S S CO,423.86
WAVERLY INC,423.80
S P PLUS CORP,423.22
ST JOHN KNITS INC,423.10
HUDSON RIVER BANCORP INC,422.09
AVEMCO CORP,421.99
CALMAT CO,421.82
I W C RESOURCES CORP,421.55
ROBERTS PHARMACEUTICAL CORP,421.40
BET HOLDINGS INC,421.12
AMERICAN FEDERAL BANK FSB GRNVLE,420.78
WRIGHT MEDICAL GROUP N V,420.52
MIMECAST LTD,420.47
ADVANCED TELECOMMUNICATIONS CORP,420.47
POND CREEK POCAHONTAS CO,420.32
NATURES SUNSHINE PRODUCTS INC,419.99
BELO CORP,419.79
N S BANCORP INC,419.50
HINDE & DAUCH PAPER CO,419.34
LEASE PLAN INTL CORP,419.21
LUBYS INC,418.77
GAMING & LEISURE PROPERTIES INC,418.43
COLUCID PHARMACEUTICALS INC,417.95
ACXIOM CORP,417.89
ANTHEM ELECTRONICS INC,417.35
BLOCKSON CHEM CO,417.10
L D R HOLDING CORP,416.96
TRIUS THERAPEUTICS INC,416.86
FIRST NIAGARA FINL GROUP INC NEW,416.81
ISOCOR,416.79
BESTWALL GYPSUM CO,416.51
HOOKER FURNITURE CORP,416.24
COBIZ FINANCIAL INC,416.10
ACME PACKET INC,415.88
SPEEDWAY MOTORSPORTS INC,415.85
PANAMSAT CORP,415.78
TAL INTERNATIONAL GROUP INC,415.60
DAIG CORP,415.31
YOUNGSTOWN STEEL DOOR CO,414.98
E R C CORP,414.61
PANHANDLE OIL & GAS INC,414.59
INBRAND CORP,414.52
ACCESS HEALTH INC,414.39
METALDYNE PERFORMANCE GROUP INC,413.51
8X8 INC NEW,413.50
LINCOLN 1ST BKS INC,413.39
WACKENHUT CORP,413.38
AIRBORNE INC,412.95
HARTFORD LIFE INC,412.74
CENTRAL JERSEY BANCORP,412.46
WOODS CORP,411.68
CROSSMANN COMMUNITIES INC,411.67
MESA LABORATORIES INC,411.63
ADMIRAL CORP,411.53
ENDICOTT JOHNSON CORP,411.48
INDEPENDENCE BANCORP INC PA,411.39
ACORDIA INC,411.28
GIRARD CO,411.10
PHILIPS N V,410.75
COVANSYS CORP,410.61
DARLING INGREDIENTS INC,410.39
EASTERN ENVIRONMENTAL SVC INC,410.08
BROOKWOOD HEALTH SVCS INC,410.01
K C G HOLDINGS INC,409.99
DERMIRA INC,409.93
ISILON SYSTEMS INC,409.48
ANORMED INC,409.33
RUE21 INC,409.25
WARNER ELECTRIC BRAKE & CLTCH CO,409.23
GROW GROUP INC,409.13
ANDERSON EXPLORATION LTD,408.96
PETCO ANIMAL SUPPLIES INC,408.57
JACKSON HEWITT INC,408.31
HARMAN INTERNATIONAL INDS INC,408.19
CHICAGO GREAT WESTN RY CO,407.99
DATA RESOURCES INC,407.74
PENN TRAFFIC CO,407.55
CAREER EDUCATION CORP,407.20
RIGHT MANAGEMENT CONSULTANTS INC,407.13
SEVEN UP CO,407.07
ELECTRONIC COMMUNICATIONS INC,407.01
C B BANCSHARES INC,406.96
JORGENSEN EARLE M CO DE NEW,406.58
LASERSCOPE,406.45
WISDOMTREE INVESTMENTS INC,406.07
VEECO INSTRUMENTS INC,405.44
SERVICE MERCHANDISE INC,405.42
UNIT CORP,404.95
SANFILIPPO JOHN B & SON,404.85
MARITRANS INC,404.09
ALL AMERICAN GOURMET CO,404.03
BELDEN CORP,403.75
KEY CENTURION BANCSHARES,403.01
UNITED DRUG CO,402.91
ANITEC IMAGE TECHNOLOGY CORP,402.84
A G A MEDICAL HOLDINGS INC,402.23
HERITAGE FINANCIAL CORP WA,401.88
CHART HOUSE INC,401.67
WINNEBAGO INDUSTRIES INC,401.27
PHLCORP INC PA,401.21
PUGET SOUND PULP & TIMBER CO,401.20
NORD ANGLIA EDUCATION INC,401.19
PHYSIO CONTROL CORP,401.13
MCKEE CORP,400.29
GARLOCK INC,400.27
AMERICAN MAIZE PRODS CO,400.18
KING DIGITAL ENTERTAINMENT PLC,399.87
INDEPENDENT BANK CORP MICH,399.47
MC LELLAN STORES CO,399.20
MEASUREX CORP,399.09
EQUITABLE GENERAL CORP,398.95
C B T CORP,398.66
MYRIAD GENETICS INC,398.61
LANIER BUSINESS PRODS INC,398.51
SYNCOR INTERNATIONAL CORP DE,398.51
MICHAEL FOODS INC,398.30
GRANBY MINING LTD,398.22
WINTHROP RESOURCES CORP,398.07
M A P PHARMACEUTICALS INC,398.01
HOMESTREET INC,397.54
METROMAIL CORP,397.47
HYSTER COMPANY,397.32
UNION BANCORP INC MI,397.20
EMPHESYS FINANCIAL GROUP INC,397.06
U S DELIVERY SYSTEMS INC,397.06
PEPCOM INDUSTRIES INC,397.03
ULTRA BANCORPORATION,397.02
COASTAL FINANCIAL CORP DEL,396.91
N B B BANCORP INC,396.67
AQUA CHEMICAL INC,396.44
CYBERARK SOFTWARE LTD,396.30
UNITED PAYORS & UNITED PRVRS INC,396.13
GOLD BANC CORP INC,396.02
SPECTRANETICS CORP,395.58
BIOMEDICAL REFERENCE LABS INC,395.37
INTERNATIONAL HOLDINGS CORP,395.29
GEOEYE INC,395.19
AMERICAN ITALIAN PASTA CO,394.79
TRUE RELIGION APPAREL INC,394.79
TESMA INTERNATIONAL INC,394.71
M L BANCORP INC,394.54
GLOBE LIFE & ACC INS CO,394.54
STILLWATER MINING CO,394.26
CONTINENTAL WASTE INDUSTRIES INC,394.17
MYCOGEN CORP,393.67
THOMPSON MEDICAL INC,393.62
K M G CHEMICALS INC,393.33
AMERICAN WOOLEN CO,393.02
CANADA CEM LTD,393.00
PATHEON N V,392.91
